Lat,Long_,Deaths,Confirmed,Case_Fatality_Ratio
37.19141121,-101.7992519,11,716,1.536312849
41.70759415,-98.06737183,14,1223,1.144726083
40.64843556,-96.13374142,25,3752,0.6663113006
8.6704,-74.03,0,0,1.610896052
26.92601662,-97.66413984,2,101,1.960784314
35.83764858,-100.2703577,8,1427,0.5606166783
41.377491,64.585262,0,0,0.655413467
42.12118609,-91.13139641,82,6375,1.286072773
35.99438059,-88.93358327,0,0,1.377514793
33.95436462,-83.37124007,0,0,0.7342738205
37.16928494,-94.8462897,96,7274,1.31976904
37.64268459,-114.8790388,10,673,1.485884101
39.9210089,-76.73040131,0,0,1.126801633
46.14907081,-112.094396,26,3097,0.8392511298
31.07796211,-92.00079449,0,0,1.557453528
33.31403423,-93.89285258,0,0,1.801014163
22.694884,71.590923,0,0,0.8643624828
50.4501,30.5234,0,0,2.014387843
33.95317155,-91.74002806,70,5391,1.298219585
30.43669112,-83.89442308,68,4836,1.40583006
35.15634626,-86.09201039,0,0,1.304627249
42.76558279,-109.9130922,28,2300,1.216862234
39.41485808,-83.80852286,184,12874,1.429141717
30.811346,72.139132,0,0,2.601921489
33.223191,43.679291,0,0,1.029184217
33.78686685,-98.20771198,41,2447,1.675521046
18.111484,-67.038581,0,0,0.0
25.6112362,-80.55170587,0,0,0.797837272
29.31166,47.481766,0,0,0.3877799522
38.77058531,-77.44399307,28,4734,0.5913410771
43.76923077,11.25588885,0,0,0.7246918049
46.43222285,-91.91595768,88,14203,0.6195874111
46.41292944,-86.60260122,18,2085,0.8633093525
47.11530482,-101.3406158,5,371,1.344086022
39.2853852,-80.37919577,0,0,1.103952228
34.83624419,-91.55162157,46,2378,1.934398654
51.6520555,46.8631952,0,0,1.98670454
19.1817,-88.4791,0,0,3.78771102
35.70471703,-113.7577902,0,0,2.427528048
18.23679,-66.98362,0,0,0.0
37.12191123,-81.56685568,0,0,1.547243503
32.54935988,-94.36934071,0,0,1.521402785
